id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,timestamp,rsi,ema20,ema50,volume_avg,EMA_bullish,Volume_surge,RSI_momentum,RSI_overbought,Price_dropping_below_ema20,Volume_high,signal
melania-meme,melania,0.25037,99909842,23872389.0,-14.07082,2025-06-13 01:30:46.466240,48.148117743525496,4402.216009131358,6176.568921808517,8454554.474285716,False,True,False,False,True,True,strong
paal-ai,paal,0.107073,96568715,12952003.0,-15.08216,2025-06-13 01:30:46.466240,48.14807900729549,1977.2265468076314,4485.152454187396,6704096.285714286,False,True,False,False,True,True,strong
bio-protocol,bio,0.05385,96165153,25605499.0,-13.24014,2025-06-13 01:30:46.466240,48.14811029013607,9512.496213826536,7714.92870554302,8738502.930000002,False,True,False,False,True,True,strong
solv-protocol-solvbtc-jupiter,solvbtc.jup,108274.0,95582833,2048.74,-4.87709,2025-06-13 01:30:46.466240,64.39034481746243,18918.353717271628,11658.42169748251,8201573.892857144,True,False,False,False,False,False,strong
loopring,lrc,0.076183,95218069,15560023.0,-10.47528,2025-06-13 01:30:46.466240,48.14813036436513,15486.475103158858,10761.97437978989,8227894.035714286,False,True,False,False,True,True,strong
prometeus,prom,5.14,93919233,4241613.0,-4.47911,2025-06-13 01:30:46.466240,48.14928444279712,7105.262789838704,7898.56563802285,2062084.5714285725,False,True,False,False,True,True,strong
usd-coin-ethereum-bridged,usdc.e,1.001,93793791,24377701.0,0.1597,2025-06-13 01:30:46.466240,48.14832659644499,6428.666428901684,7588.857220845483,5149001.42857143,False,True,False,False,True,True,strong
ardor,ardr,0.094694,93459092,69565067.0,-3.58225,2025-06-13 01:30:46.466240,48.148100731264584,5816.421501768191,7291.258690380954,15078651.0,False,True,False,False,True,True,strong
constitutiondao,people,0.017933,90986289,58917366.0,-17.35431,2025-06-13 01:30:46.466240,48.148077812857544,2886.6969165589203,5510.427822012559,22081101.285714287,False,True,False,False,True,True,strong
degen-base,degen,0.00378615,88892423,14697902.0,-13.16814,2025-06-13 01:30:46.466240,48.14795576781177,1434.361992635419,4165.424201410334,8694091.285714285,False,True,False,False,True,True,strong
sophon,soph,0.04418831,88536518,77063569.0,-12.28355,2025-06-13 01:30:46.466240,48.14798870585524,1297.760296985379,4002.0759656024775,19703172.57142857,False,True,False,False,True,True,strong
